text,aspect_term,polarity,gold_polarity
"the only thing that i have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,negative,negative
"i'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.",warranty,positive,negative
"i'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","repair ""depot""",negative,negative
  but i needed a laptop for school use.,school use,positive,neutral
this is the complete opposite to an ergonomic design.,design,negative,negative
i would like at least a 4 hr. battery life.,battery life,positive,neutral
the only thing that i don't like about my mac is that sometimes there are programs that i want to be able to run and i am not able to.,programs,negative,negative
"wireless has not been a issue for me, like some others have meantioned.",wireless,positive,positive
"macbook notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",battery life,negative,negative
"macbook notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.",programs,negative,negative
"all the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",trackpad,positive,positive
"all the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",programs,positive,positive
"all the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.",navigating,positive,positive
i guess the only good thing that came out of these were the speakers and the subwoofer.,speakers,positive,positive
i guess the only good thing that came out of these were the speakers and the subwoofer.,subwoofer,positive,positive
theres a built in camera with special effects- for video and photography.,built in camera,positive,positive
all for such a great price.,price,positive,positive
"  long story short, since i experience so many problems with my laptop every since i bought it from day one, i didn't ask for a new laptop or a refund of what i pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",warranty,positive,neutral
another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,left mouse key,negative,negative
another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,costed,negative,neutral
it has good speed and plenty of hard drive space.,speed,positive,positive
it has good speed and plenty of hard drive space.,hard drive space,positive,positive
clear picture on it and everything.,picture,positive,positive
"they said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not sony itself anymore.",extended warranty,neutral,neutral
"they said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not sony itself anymore.",extended warranties,neutral,neutral
very long-life battery (up to 10-11 hours depending on how you configure power level settings).,battery,positive,positive
"screen is awesome, battery life is good.",screen,positive,positive
"screen is awesome, battery life is good.",battery life,positive,positive
the black model also has a very nice seamless appearance - one of the better looking notebooks i've seen.,appearance,positive,positive
the technical service for dell is so 3rd world it might as well not even bother.,technical service for dell,negative,negative
the graphics were awful and the warranty isn't even worth the cheap payment on the computer.,graphics,negative,negative
the graphics were awful and the warranty isn't even worth the cheap payment on the computer.,warranty,negative,negative
"they gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",battery,negative,negative
"if you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, i bought the white one from best buy.",case,positive,positive
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",performance,positive,neutral
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",price,positive,positive
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",look,positive,positive
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",applications,positive,positive
excellent speed for processing data.,speed,positive,positive
when you call tech support you were routed to someone who was in another country and did not know what they were doing.,tech support,negative,negative
"it has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming,positive,positive
"it has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",use,positive,positive
i was taught to use photoshop and was amazed.,photoshop,positive,positive
4gb of ram...,ram,positive,neutral
somehow the system clock got messed up after reboot.,system clock,negative,negative
"the only problem is that i had to add 1 gb ram, the computer was kinda slow.",ram,negative,negative
with the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,securitysoftware,positive,positive
"the driver updates don't fix the issue, very frustrating.",driver updates,negative,negative
i will never go back to windows!,windows,negative,negative
it doesnt work worth a damn.,work,negative,negative
it works really well.,works,positive,positive
"bigger hd, better graphics card, and a bid hd.",hd,positive,positive
"bigger hd, better graphics card, and a bid hd.",hd,positive,positive
"bigger hd, better graphics card, and a bid hd.",graphics card,positive,positive
the built in camera is very useful when chatting with other techs in remote buildings on our campus.,built in camera,positive,positive
"mine came at $1,700 w/o a dvd burner (!).",dvd burner,neutral,negative
the dvd burner broke after burning 3 dvd'd during that time!,dvd burner,negative,negative
it works fine with our wireless and they've had not problems.,works,positive,positive
but you must get the 15 inch.,15 inch,positive,positive
product support very poor as each phone call costs me long distan,product support,negative,negative
"overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen,positive,positive
"overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",use,positive,positive
  the casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord,negative,negative
it does not keep internet signals no matter where you bring it.,internet signals,negative,negative
it's a great product for a great price!,price,positive,positive
"again, the same problem, the right speaker did not work.",right speaker,negative,negative
but see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,software,positive,positive
but see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,updates,positive,positive
and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,multiple page viewer,positive,positive
this was the 3rd day and part still had not been shipped.,shipped,negative,negative
keyboard good sized and wasy to use.,keyboard,positive,positive
keyboard good sized and wasy to use.,use,positive,positive
hp said it was out of warranty.,warranty,negative,neutral
"i never had this kind of quality issue with dell (not to say dell is that great), not with a brand new laptop.",quality,negative,negative
wonderful features.,features,positive,positive
i had to call hp and ask for a recovery disk because the computer does not come with one and completely redo it all.,recovery disk,neutral,negative
im glad that it has such great features in it.,features,positive,positive
i like those programs better than office and you can save your files to be completely compatible with the office programs as well.,programs,positive,positive
i like those programs better than office and you can save your files to be completely compatible with the office programs as well.,office,neutral,negative
i like those programs better than office and you can save your files to be completely compatible with the office programs as well.,office programs,neutral,neutral
great wifi too.,wifi,positive,positive
"when typing, letters and spaces are frequently omitted requiring the user to redo many words and sentences.",typing,negative,negative
"  only a few days after i received the computer back, the screen froze again.",screen,negative,negative
it is not ideal for children because of the temp.,temp,negative,negative
although i do believe that windows operating system may be to fault for some of the problems.,windows operating system,negative,negative
"great os, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",os,positive,positive
"great os, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",processor speed,positive,positive
"great os, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",thunderbolt port,positive,positive
  the lcd screen stopped working on mine after 10 months.,lcd screen,negative,negative
images are crisp and clean.,images,positive,positive
although its windows vista compared to windows xp sucks.,windows vista,neutral,negative
although its windows vista compared to windows xp sucks.,windows xp,negative,positive
"  we have had numerous problems with vista, such as adobe flash player just quits and has to be uninstalled and then reinsalled, internet explore just quits and you lose whatever you were working on, also, the same windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",vista,negative,negative
"  we have had numerous problems with vista, such as adobe flash player just quits and has to be uninstalled and then reinsalled, internet explore just quits and you lose whatever you were working on, also, the same windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",adobe flash player,negative,negative
"  we have had numerous problems with vista, such as adobe flash player just quits and has to be uninstalled and then reinsalled, internet explore just quits and you lose whatever you were working on, also, the same windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",internet explore,negative,negative
"  we have had numerous problems with vista, such as adobe flash player just quits and has to be uninstalled and then reinsalled, internet explore just quits and you lose whatever you were working on, also, the same windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",windows update,neutral,negative
"  we have had numerous problems with vista, such as adobe flash player just quits and has to be uninstalled and then reinsalled, internet explore just quits and you lose whatever you were working on, also, the same windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",update,neutral,negative
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,negative,negative
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,negative,negative
"one more tip, please purchase this model and get a 4gb stick of ram to save you $10",4gb stick of ram,positive,positive
it has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,hardrive,positive,negative
it has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,touch control buttons,negative,negative
it has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,keyboard,negative,negative
i always have used a tower home pc and jumped to the laptop and have been very satisfied with its performance.,performance,positive,positive
"the computer runs very fast with no problems and the ilife software that comes with it (iphoto, imovie, iweb, itunes, garageband) is all very helpful as well.",ilife software,positive,positive
"the computer runs very fast with no problems and the ilife software that comes with it (iphoto, imovie, iweb, itunes, garageband) is all very helpful as well.",iphoto,positive,positive
"the computer runs very fast with no problems and the ilife software that comes with it (iphoto, imovie, iweb, itunes, garageband) is all very helpful as well.",imovie,positive,positive
"the computer runs very fast with no problems and the ilife software that comes with it (iphoto, imovie, iweb, itunes, garageband) is all very helpful as well.",iweb,positive,positive
"the computer runs very fast with no problems and the ilife software that comes with it (iphoto, imovie, iweb, itunes, garageband) is all very helpful as well.",itunes,positive,positive
"the computer runs very fast with no problems and the ilife software that comes with it (iphoto, imovie, iweb, itunes, garageband) is all very helpful as well.",garageband,positive,positive
"the computer runs very fast with no problems and the ilife software that comes with it (iphoto, imovie, iweb, itunes, garageband) is all very helpful as well.",runs,positive,positive
at first it worked well for a month or so then the system board failed and i send it in to toshiba some complaints and three weeks later i then receive my laptop back only to discover that it still has the same problem so now i have to send it back again to get it fixed again.,system board,negative,negative
"  until i bought the dell, i thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",size,neutral,neutral
"  until i bought the dell, i thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",software,positive,neutral
"  until i bought the dell, i thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",hardware,negative,neutral
"it has plenty of memory, lots of hard drive, and great graphics.",memory,positive,positive
"it has plenty of memory, lots of hard drive, and great graphics.",hard drive,positive,positive
"it has plenty of memory, lots of hard drive, and great graphics.",graphics,positive,positive
it didn't take me long to get switched over to the mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,programs,positive,positive
it didn't take me long to get switched over to the mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,navigation,positive,positive
"however, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the lcd).",hinge,negative,negative
"however, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the lcd).",lcd,negative,neutral
my problem was with dell customer service.,dell customer service,negative,negative
"newegg's rma service was great as always, i contacted them late friday night, and they issued me an rma number and a prepaid ups shipping label the very next morning on saturday.",rma service,positive,positive
design: very durable.,design,positive,positive
it is easy to go from one keyboard to another.,keyboard,positive,neutral
has a 5-6 hour battery life.,battery life,positive,neutral
my only issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,screen/video resolution,negative,negative
my only issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,resolution,negative,negative
"i run dreamweaver, final cut pro 7, photoshop, safari, firefox, msn messenger and a few other applications constantly at the same time.",applications,positive,neutral
"i run dreamweaver, final cut pro 7, photoshop, safari, firefox, msn messenger and a few other applications constantly at the same time.",dreamweaver,positive,neutral
"i run dreamweaver, final cut pro 7, photoshop, safari, firefox, msn messenger and a few other applications constantly at the same time.",final cut pro 7,positive,neutral
"i run dreamweaver, final cut pro 7, photoshop, safari, firefox, msn messenger and a few other applications constantly at the same time.",photoshop,neutral,neutral
"i run dreamweaver, final cut pro 7, photoshop, safari, firefox, msn messenger and a few other applications constantly at the same time.",safari,positive,neutral
"i run dreamweaver, final cut pro 7, photoshop, safari, firefox, msn messenger and a few other applications constantly at the same time.",firefox,neutral,neutral
"i run dreamweaver, final cut pro 7, photoshop, safari, firefox, msn messenger and a few other applications constantly at the same time.",msn messenger,neutral,neutral
"  i was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",warrenty,negative,negative
ive had to call tech support many times.,tech support,negative,neutral
"the apple applications (ex.iphoto) are fun, easy, and really cool to use (unlike the competition)!",apple applications,positive,positive
"the apple applications (ex.iphoto) are fun, easy, and really cool to use (unlike the competition)!",iphoto,positive,positive
not to mention it has shit gigs.,gigs,negative,negative
"i paid for extra memory and the 17-inch screen, as well as the top of the line dvd and cd burners.",memory,positive,neutral
"i paid for extra memory and the 17-inch screen, as well as the top of the line dvd and cd burners.",17-inch screen,positive,neutral
"i paid for extra memory and the 17-inch screen, as well as the top of the line dvd and cd burners.",dvd,positive,positive
"i paid for extra memory and the 17-inch screen, as well as the top of the line dvd and cd burners.",cd burners,positive,positive
"its pretty fast and does not have hiccups while i am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",web browsing,positive,positive
"its pretty fast and does not have hiccups while i am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",uploading photos,positive,positive
"its pretty fast and does not have hiccups while i am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",watching movies,positive,positive
"its pretty fast and does not have hiccups while i am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",creating presentations,positive,positive
"quality display  i love hp,, it's the only computer/printer we will buy.",quality display,positive,positive
"despite the inconvenient weight, i opted for the 12 cell battery.",12 cell battery,positive,positive
the case is carved out of a single block of aluminum.,case,positive,neutral
     first it burned or fused the power adapter plug.,power adapter plug,negative,negative
"the features are great, the only thing it needs is better speakers.",features,positive,positive
"the features are great, the only thing it needs is better speakers.",speakers,negative,negative
"it was still working, but there was nothing on the screen.",screen,negative,negative
i bought this laptop and found its tab is not functioning.,tab,negative,negative
  toshiba is aware of the issue but unless the extended warrenty is bought toshiba will do nothing about it.,extended warrenty,negative,negative
"-called headquarters again, they report that tft panel is broken, should be fixed by the end of the week (week 3).",tft panel,negative,negative
"navigation through the computer is far superior compared to windows operating systems, as well.",navigation,positive,positive
"navigation through the computer is far superior compared to windows operating systems, as well.",windows operating systems,neutral,negative
"the screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen,negative,negative
"the screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen size,negative,negative
"the screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",bulk,negative,negative
"though the picture, video, and music software is nowhere close to professional grade software im used to (cs5) but does the job for beginner and even intermediate media designers.",music software,negative,negative
"though the picture, video, and music software is nowhere close to professional grade software im used to (cs5) but does the job for beginner and even intermediate media designers.",software,neutral,positive
"though the picture, video, and music software is nowhere close to professional grade software im used to (cs5) but does the job for beginner and even intermediate media designers.",picture,positive,negative
"though the picture, video, and music software is nowhere close to professional grade software im used to (cs5) but does the job for beginner and even intermediate media designers.",video,neutral,negative
the much lauded combined touch pad and clicker is a nightmare.,combined touch pad and clicker,negative,negative
"the unibody construction is solid, sleek and beautiful.",unibody construction,positive,positive
this macbook is an outstanding product with great value.,value,positive,positive
i had to re-install windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,windows,negative,negative
i had to re-install windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,screen hinges,negative,negative
a second problem involves the battery which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of service.,battery,negative,negative
a second problem involves the battery which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of service.,service,negative,negative
and plenty of storage with 250 gb(though i will upgrade this and the ram..),storage,positive,positive
and plenty of storage with 250 gb(though i will upgrade this and the ram..),ram,positive,neutral
"no temporary replacement, they are out of replacements because ""many computers had problems with the nvidia chipset""-inquired status of repair.",nvidia chipset,negative,negative
i took it to friend who temporarily fixed it and i finally paid about 1500 for the extended warranty.,extended warranty,positive,neutral
"programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",programs,negative,negative
i bought this lap top and the charge time dosen't last as long as they say it will more like 2 hours,charge time,negative,negative
"also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",size,positive,negative
"also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",consistancy,positive,negative
"the key bindings take a little getting used to, but have loved the macbook pro.",key bindings,neutral,negative
keyboard is reasonable size.,keyboard,positive,positive
keyboard is reasonable size.,size,positive,positive
i find myself using the 10-key more than i thought i would.,10-key,negative,positive
fan noise: the fan made a constant hissing noise in the background.,fan,negative,negative
fan noise: the fan made a constant hissing noise in the background.,fan,negative,negative
"the screen is bright and clear, the operating system is solid and friendly to a novice.",screen,positive,positive
"the screen is bright and clear, the operating system is solid and friendly to a novice.",operating system,positive,positive
it has a .1 ghz faster processor and a stock 500gb hard drive.,processor,positive,positive
it has a .1 ghz faster processor and a stock 500gb hard drive.,500gb hard drive,positive,positive
the feature are good enough for what i need.,feature,positive,positive
"finally, the biggest problem has been tech support.",tech support,negative,negative
""" this isn't a big deal, i haven't noticed the issue with dvds or other media, only through usb output.",usb output,positive,negative
with windows laptops a wireless mouse is an absolute must.,wireless mouse,positive,neutral
"(i had been a windows/linux user before this) i love the size because the screen is big enough for what i use it for (internet, artwork), and yet it is small enough to be reasonably portable.",size,positive,positive
"(i had been a windows/linux user before this) i love the size because the screen is big enough for what i use it for (internet, artwork), and yet it is small enough to be reasonably portable.",screen,positive,positive
"(i had been a windows/linux user before this) i love the size because the screen is big enough for what i use it for (internet, artwork), and yet it is small enough to be reasonably portable.",windows,positive,neutral
"(i had been a windows/linux user before this) i love the size because the screen is big enough for what i use it for (internet, artwork), and yet it is small enough to be reasonably portable.",linux,positive,neutral
but if you're willing to pay another 200 dollar for a windows disc.,windows disc,neutral,neutral
very good quality and well made.,quality,positive,positive
"i bought a logitech desktop set in anticipation for using with the mbp, but i use the touchpad 90% of the time.",touchpad,positive,positive
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,positive,neutral
it had the full sized touch pad with 2 buttons instead of just one.,touch pad,positive,neutral
"typically, when i purchase a new laptop i always end up using an external mouse for convenience.",external mouse,positive,neutral
it was super easy to set up and is really easy to get used to.,set up,positive,positive
"the only thing that can be updated is the video, other than that you're all set.",video,neutral,negative
its a good laptop for its value.,value,positive,positive
then the hard drive failed;,hard drive,negative,negative
"plain and simple, it(laptop) runs great and loads fast.",runs,positive,positive
"plain and simple, it(laptop) runs great and loads fast.",loads,positive,positive
of course my warranty runs out next month.,warranty,negative,neutral
the capabilities using that program alone made me want a mac.,program,positive,positive
"(if you ever see the spinning beachball come up when you think it shouldn't, check the ""activity monitor"" app to see if the disk throughput has temporarily dropped to zero.",disk throughput,negative,neutral
"(if you ever see the spinning beachball come up when you think it shouldn't, check the ""activity monitor"" app to see if the disk throughput has temporarily dropped to zero.",spinning beachball,negative,negative
"i have found also, it is very easy to be able to access wireless internet access;",wireless internet access,positive,positive
this is a great value for the money.,value,positive,positive
"it was a great laptop, ran great and was really fast.",ran,positive,positive
the battery has never worked well.,battery,negative,negative
i will never buy another computer from dell ever again do to how awful it worked and how i was treated by the company.,company,negative,negative
the only problem is a lack of screen resolutions!,screen resolutions,negative,negative
"small enough to use on a long flight, light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",carry,positive,positive
typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,keyboard,negative,negative
typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,edges,negative,negative
"it has many great programs, such as ilife, iphotos and others.",programs,positive,positive
"it has many great programs, such as ilife, iphotos and others.",ilife,positive,positive
"it has many great programs, such as ilife, iphotos and others.",iphotos,positive,positive
"the processor went on me, the fan went and the motherboard went.",processor,negative,negative
"the processor went on me, the fan went and the motherboard went.",fan,negative,negative
"the processor went on me, the fan went and the motherboard went.",motherboard,negative,negative
it is very well built.,built,positive,positive
i highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,performance,positive,positive
the screen resolution was exactly what i was looking for.,screen resolution,positive,positive
"even though it is running snow leopard, 2.4 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or excel.",snow leopard,negative,positive
"even though it is running snow leopard, 2.4 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or excel.",cpu,negative,negative
"even though it is running snow leopard, 2.4 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or excel.",office mac applications,negative,negative
"even though it is running snow leopard, 2.4 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or excel.",word,negative,negative
"even though it is running snow leopard, 2.4 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or excel.",excel,negative,negative
"even though it is running snow leopard, 2.4 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or excel.",spinning wheel,negative,negative
there is no number pad to the right of the keyboard which is a bummer.,pad,negative,negative
there is no number pad to the right of the keyboard which is a bummer.,keyboard,negative,negative
after 20-30 min the screen of the notebook switched off.,screen,negative,negative
"if upgrade is possible to the full windows 7, then i will truly be a very happy geek.",windows 7,positive,positive
"i was originally concerned that i couldn't view work i had done in college on my mac because of the pc formatting, but i was even more thrilled to learn of programs like ilife and iwork that allow you to convert your pc documents into readable files on macs.",programs,neutral,positive
"i was originally concerned that i couldn't view work i had done in college on my mac because of the pc formatting, but i was even more thrilled to learn of programs like ilife and iwork that allow you to convert your pc documents into readable files on macs.",ilife,positive,positive
"i was originally concerned that i couldn't view work i had done in college on my mac because of the pc formatting, but i was even more thrilled to learn of programs like ilife and iwork that allow you to convert your pc documents into readable files on macs.",iwork,neutral,positive
10 hours of battery life is really something else....,battery life,positive,positive
runs fast and the regular layout keyboard is so much better.,regular layout keyboard,positive,positive
runs fast and the regular layout keyboard is so much better.,runs,positive,positive
"all the programs are easy and straight forward on my macbook pro, it is clean and organized, which i always strive to be myself.",programs,positive,positive
i reinstalled windows through the recovery discs and everything seemed good again.,windows,positive,positive
i reinstalled windows through the recovery discs and everything seemed good again.,recovery discs,positive,positive
"windows 7 starter is terrific (no you can't change the background) but i don't need to, i use it just for school work.",windows 7 starter,positive,positive
support has been lackluster and now i just want a refund.,support,negative,negative
"first of all, they had no record of me having the 3 year warranty i'd paid almost $400 for, and i had to call in, spend hours on their online chat service, and fax in multiple documents.",warranty,positive,negative
"first of all, they had no record of me having the 3 year warranty i'd paid almost $400 for, and i had to call in, spend hours on their online chat service, and fax in multiple documents.",online chat service,positive,negative
""">  iphoto is probably the best program i have ever worked with: easy and convenient.",iphoto,positive,positive
i love to write and play with graphics and html programming and my new toshiba works great on both!,works,positive,positive
my laptop now has no battery.,battery,negative,negative
it made the computer much easier to use and navigate.,use,positive,positive
it made the computer much easier to use and navigate.,navigate,positive,positive
":-)if you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",battery life,negative,negative
"needs longer lasting battery, more than 1 to 2 hrs.",battery,negative,negative
in may i started having problems with the usb ports not working.,usb ports,negative,negative
10 plus hours of battery...,battery,positive,positive
"the design is awesome, quality is unprecedented.",design,positive,positive
"the design is awesome, quality is unprecedented.",quality,positive,positive
the mac version of microsoft office is cheaper than buying the actual and works just as well.,mac version of microsoft office,positive,positive
"the mac takes about the same amount of starting-up time as the average pc, but keeps itself cleaned up and ready to use.",starting-up time,positive,positive
the toshiba net book operates very well.,operates,positive,positive
"the touch pad is fine - again, it's a real touch pad.",touch pad,positive,positive
"the touch pad is fine - again, it's a real touch pad.",touch pad,positive,positive
the pictures are clear as can be.,pictures,positive,positive
"it is also very lightweight, making transporting this computer very easy.",transporting,positive,positive
it's wonderful for computer gaming.,gaming,positive,positive
you have to toss out the wifi card and replace it just to have any sort of network capability.,network capability,negative,negative
you have to toss out the wifi card and replace it just to have any sort of network capability.,wifi card,negative,negative
"and the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",printer,positive,positive
it is very easy for anyone to use an apple and specially the mcbook pro notebook.,use,positive,positive
"the flaws are, this computer is not for computer gamers because of the os x.",os x,negative,negative
they really do have the worlds very worst repair service.,repair service,negative,negative
they need to stop outsoucing and send some complaint calls to us based customer service agents for those who live in the united states.,customer service agents,negative,negative
  i was also able to install and use my photoshop and aftereffects programs easily.,photoshop,positive,positive
  i was also able to install and use my photoshop and aftereffects programs easily.,aftereffects programs,positive,positive
it's perfect for everything and runs faster than an average pc!,runs,positive,positive
 then after paying for it to be examined i was told it was same problem cited on website but i'd have to pay anyways since it was past warrenty.,warrenty,negative,negative
i'm already hooked on the sleek look and dependability that this laptop has shown.,look,positive,positive
i'm already hooked on the sleek look and dependability that this laptop has shown.,dependability,positive,positive
and having to deal with the company has been a even worse nightmare.,company,negative,negative
  i will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when i do so i don't run accross a situation like this again!,warranty,negative,neutral
it has all the features that are necessary for college and if not they are able to be added onto the computer.,features,positive,positive
"i've owned this labtop for less then two months, already the mouse button has broke.",mouse button,negative,negative
"it did fairly well, other than it's poor performance, overheating and occational blue screen.",performance,negative,negative
"the touchpad is very intuitive, so much so that i never want to use buttons to click again!",touchpad,positive,positive
"the touchpad is very intuitive, so much so that i never want to use buttons to click again!",buttons,positive,neutral
tons of bloatware and junk programs.,programs,negative,negative
lots of extra space but the keyboard is ridiculously small.,space,positive,positive
lots of extra space but the keyboard is ridiculously small.,keyboard,positive,negative
it's so bad that i'm thinking i only got half a battery or something.,battery,negative,negative
"good keyboard, long battery life, largest hard drive and windows 7.",keyboard,positive,positive
"good keyboard, long battery life, largest hard drive and windows 7.",battery life,positive,positive
"good keyboard, long battery life, largest hard drive and windows 7.",hard drive,positive,positive
"good keyboard, long battery life, largest hard drive and windows 7.",windows 7,positive,positive
the processor is very quick and effective as i load webpages and applications.,processor,positive,positive
the processor is very quick and effective as i load webpages and applications.,applications,positive,neutral
the processor is very quick and effective as i load webpages and applications.,load,positive,positive
the processor is very quick and effective as i load webpages and applications.,webpages,positive,neutral
my battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!,battery,negative,negative
"it pretty much does everything we could ever need, and looks great to boot.",boot,positive,positive
"as a lifelong windows user, i was extremely pleased to make the change to mac.",windows,positive,negative
"the macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day i bought it.",runs,positive,positive
"i wiped nearly everything off of it, installed openoffice and firefox, and i am operating an incredibly efficient and useful machine for a great price.",openoffice,positive,neutral
"i wiped nearly everything off of it, installed openoffice and firefox, and i am operating an incredibly efficient and useful machine for a great price.",firefox,positive,neutral
"i wiped nearly everything off of it, installed openoffice and firefox, and i am operating an incredibly efficient and useful machine for a great price.",price,positive,positive
"overall i feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",quality,negative,negative
"overall i feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",performance,negative,negative
"overall i feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",battery life,positive,positive
"i picked it out because it was inexpensive ($400) and i thought it would be a good, easy to use first laptop.",use,positive,positive
my only problem is i can not reg. the product key.,product key,negative,negative
pay attention to the specs if you want these options.,specs,negative,neutral
it also does not have bluetooth.,bluetooth,negative,negative
sure it has the one touch keys but that was the best feature of the computer.,one touch keys,positive,positive
great battery life.,battery life,positive,positive
the real stand out on this computer is the feel of the keyboard and it's speed.,keyboard,positive,positive
the real stand out on this computer is the feel of the keyboard and it's speed.,speed,positive,positive
