text,predictions
"not to mention, the battery life is absolutely amazing.","[('battery', None), ('battery', None)]"
"i realize that not every unit has this issue, but the ones that do cannot be repaired.","[('unit', None), ('fix', None)]"
i have had a mac for 6 years and won't go back to pc.,"[('mac', None), ('pc', None)]"
i love to use it it is esay and light.,"[('light', None), ('esay', None)]"
windows also shuts the computer down for no reason without warning.,"[('windows', None), ('computer', None)]"
not using wired lan not sure what thats about.,"[('lan', None), ('wired', None)]"
after about another month i had to send it in again to acer for repairs.,"[('acer', None), ('repairs', None)]"
the macbook rarely requires a hard reboot.,"[('macbook', None), ('reboot', None)]"
i love it!,"[('i like', None)]"
the #1 reason that is always repeated.,"[('reason', None)]"
now for the hardware problems.,"[('hardware', None), ('problems', None)]"
"unfortunately, that is not the case.","[('a', None), ('that', None)]"
anyways i bought this two months ago and when i first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,"[('drive', None), ('noise', None)]"
it's fast and has excellent battery life.,"[('battery', None), ('life', None)]"
it's face and depanable.,"[('face', None)]"
no viruses!,"[('viruses', None)]"
"i'm just really happy that i waited to buy, because this thing kicks a$$!","[('wait', None), ('money', None)]"
"the hewitt packard pavillion dv6700 was my first laptop, before this i had a dell desktop that i loved.","[('hewitt packard pavillion dv6700', None), ('dell desktop', None)]"
apple care included.,"[('apple care', None), ('apple', None)]"
it was an all around waste of money for me.,"[('money', None)]"
i worked in it retail sales before.,"[('sales', None), ('retail', None)]"
features like the font are very block-like and old school.,"[('school', None), ('font', None)]"
it has everything you need to get the job done.,"[('job', None), ('food', None)]"
"it is loaded with programs that is of no good for the average user, that makes it run way to slow.","[('apps', None), ('user', None)]"
"i feel that it was poorly put together, because once in a while different plastic pieces would come off of it.","[('plastic pieces', None), ('assembling', None)]"
it cant fuction well with lots of webpages open at once.,"[('webpages', None), ('open', None)]"
"finally, i should note that i took the 2gb ram stick from my old eeepc and installed it before i even powered on for the first time.","[('ram', None), ('eeepc', None)]"
this laptop has left me with a horrible taste in my mouth for acer brand products.,"[('taste', None), ('acer', None), ('products', None)]"
its not bad just very very annoying.,[]
"well, maybe more like week one.","[('week', None), ('one', None)]"
windows is also rather unsteady on its feet and is susceptible to many bugs.,"[('windows', None), ('bugs', None)]"
"after sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, i broke down and spent another $100 to get microsoft word for mac.","[('microsoft word', None), ('recipients', None)]"
"i believe i purchased this in dec 09 for my primary work laptop which is used 5-10 hours a day, 4-6 days a week.","[('a day', None), ('laptop', None)]"
do not buy gateway computers they are junk and the warranty company is horrible.,"[('gateway computers', None), ('warranty', None)]"
then on top of it all their cusromer service center is in the middle east.,"[('service', None), ('middle east', None)]"
the only bad part is the size/weight.,"[('size/weight', None), ('part', None)]"
the little battery that it did have would only last about an hour while just having it on the desktop.,"[('desktop', None), ('battery', None)]"
i liked the aluminum body.,"[('aluminum body', None)]"
also it is light weight compared to others.,"[('weight', None), ('others', None)]"
its good for playing my apps on facebook or watching movies.,"[('movies', None), ('apps', None)]"
"from the build quality to the performance, everything about it has been sub-par from what i would have expected from apple.","[('performance', None), ('apple', None)]"
"i love the dock where i can simply drop a file ontop of a particular program, and the program will simply open that file.","[('dock', None), ('file', None)]"
"sorry, newegg.","[('newegg', None), ('egg', None)]"
be safe buy a sony.,"[('sony', None), ('buy', None)]"
pretty much everything else about the computer is good it just stops working out of no were.,"[('computer', None), ('was', None)]"
originally bought it for my wife.,"[('wife', None), ('item', None)]"
it was truly a great computer costing less than one thousand bucks before tax.,"[('cost', None), ('tax', None)]"
"waiting for the i7 was well worth it, great value for the price.","[('price', None), ('waiting', None)]"
i bought this laptop on saturday and am completely in love with it!,"[('laptop', None), ('day', None)]"
"i asked how they would determine that since there are no scratches, dents or other signs of damage and was told that was the only way this type of damage could happen.","[('dents', None), ('dents', None)]"
"now,,,,,my monitor has been acting up for about 2 months.","[('monitor', None), ('time', None)]"
"also, the extended warranty was a problem.","[('extended warranty', None), ('problem', None)]"
boots up fast and runs great!,"[('boots', None), ('runs', None)]"
lightweight and the screen is beautiful!,"[('screen', None), ('light', None)]"
"buy it, love it, and i promise you won't regret it.",[]
i needed a driver for my hp and they would not help me with out me paying over $50 for it.,"[('hp', None), ('driver', None)]"
"if you don't like fingerprints, this might not be the laptop for you.","[('fingerprints', None), ('laptop', None)]"
"call tech support, standard email the form and fax it back in to us.","[('tech', None), ('fax', None)]"
"just a month and a half or two months ago, my vaio crashed again.","[('vaio', None), ('half', None)]"
they sent it back with a huge crack in it and it still didn't work.,"[('crack', None), ('et', None)]"
"a coupla months later, they change my hard drive.","[('drive', None), ('change', None)]"
i did contact hp and share how unhappy i am.,"[('hp', None), ('a', None)]"
"the macbook arrived in a nice twin packing and sealed in the box, all the functions works great.","[('macbook', None), ('functions', None)]"
"the 13"" macbook pro is portable, durable, and very capable.","[('macbook', None), ('portable', None)]"
i should have spent an extra hundred bucks and got a full sized computer.,"[('sized computer', None), ('money', None)]"
great overall.,"[('overall', None), ('pizza', None)]"
my smart phone is faster!,"[('phone', None), ('faster', None)]"
they say sorry out of warranty.,"[('warranty', None), ('people', None)]"
i have full control at all times of what is going on - there is no control+alt+delete business anymore.,"[('business', None), ('control', None)]"
i bought this laptop because of the performance to price ratio.,"[('performance to price ratio', None), ('laptop', None)]"
pc never worked right even after bios fixed.,"[('pc', None), ('bios', None)]"
"after having two pc laptops die with in the past 3 years, i was led to the apple display at best buy by the sleek design and promise of less tech issues.","[('design', None), ('apple display', None)]"
"i have a laptop as my regular computer, but found that disconnecting it and lugging it around was a drag.","[('regular computer', None), ('lugging', None)]"
this is my second macbook.,"[('macbook', None)]"
the size is perfect and i do not recomend anything bigger except for any person who can exceed the limited space it gives you.,"[('space', None), ('size', None)]"
the service i received from toshiba went above and beyond the call of duty.,"[('service', None), ('toshiba', None)]"
"have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.","[('priced computers', None), ('memory', None)]"
i would recommend it just because of the internet speed probably because thats the only thing i really care about.,"[('internet', None), ('time', None)]"
i own other macs but always find myself navigation to the macbook pro to get my work done.,"[('macbook', None), ('work', None)]"
"there are several programs for school or office use (pages, numbers, keynote, etc.), music (garageband), photo management (photo booth, iphoto), video-editing or movie-making (imovie), etc.","[('music', None), ('booth', None), ('iphoto', None), ('photo management', None), ('ivideo', None)]"
this is my 3rd apple laptop and first macbook pro.,"[('apple laptop', None), ('macbook pro', None)]"
i have had this laptop for a few months now and i would say im pretty satisfied.,"[('laptop', None)]"
the love part of my relationship with this laptop doesn't take very long.,"[('laptop', None), ('time', None)]"
not enough time for me to give it 5 stars!,"[('time', None), ('food', None)]"
the screen shows great colors.,"[('screen', None), ('colors', None)]"
"reason why? it's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if apple does decides to change mode, your laptop value will only drop 10-20%, unlike pc laptops which drop more than 80%.","[('price', None), ('apple', None), ('value', None)]"
that's a huge difference.,"[('difference', None)]"
"dells are ok, hps aren't that good, but macs or fantastic.","[('hps', None), ('macs', None)]"
"so, buyers beware!","[('buyers', None), ('e-commerce', None)]"
i am totally satisfied with my little toshie!,"[('toshie', None)]"
"i have no idea how to burn cd's or to use the web cam, just for starters.","[('cd', None), ('webcam', None)]"
"again, i sent it off to acer, by this time they were paying for me to send it to them and everything, but it was still inconvienent because of my classes and my communication with my fiance.","[('communication', None), ('acer', None)]"
definitely recommended!!!,"[('recommended', None)]"
it is extremely user friendly and intuitive.,[]
let me start with the good:so awesome.,[]
i had finally reached my limit and broke down.,"[('limit', None)]"
"the 17 inch screen is very large, but the computer is very light.","[('computer', None), ('7 inch screen', None)]"
"my opinion of sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.","[('machine', None), ('support', None)]"
"do i like the computer? well, other than not getting viruses, i guess it is ok.","[('viruses', None), ('computer', None)]"
"for the bluetooth to work properly, you must install the launch manager on the drivers/applications dvd, or it will not show after the reload.","[('bluetooth', None), ('reload', None), ('dvd', None)]"
i waited and waited and no laptop.,"[('waited', None), ('laptop', None)]"
everything is falling apart internally and externally.,[]
i also liked the glass screen.,"[('glass screen', None), ('person', None)]"
the switchable graphic card is pretty sweet when you want gaming on the laptop.,"[('switchable graphic card', None), ('gaming', None)]"
"it super shiny, so you can see the fingerprints easily.","[('fingerprints', None)]"
"it's not a wear-and-tear issue, not due to user carelessness and most importantly, they can't guarantee the problem will be solved if it is sent for service and i have to accept the outcome.","[('service', None), ('outcome', None)]"
"the battery life has not decreased since i bought it, so i'm thrilled with that.","[('battery', None), ('time', None)]"
its a dog plain and simple.,"[('dog', None)]"
"when i called toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.","[('toshiba', None), ('phone call', None)]"
my hp is very heavy.,"[('hp', None), ('a', None)]"
i bought this notebook and only had it for 3 months if it is overload with updates the boot mgr.,"[('boot', None), ('notebook', None)]"
oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,"[('cost', None), ('recovery cd', None)]"
the price and features more than met my needs.,"[('price', None), ('features', None)]"
they refuse.,"[('rebuff', None), ('they', None)]"
big mistake!,"[('mistake', None)]"
best buy was great as always and accepted the return and gave me another model 1764.,"[('return', None), ('model', None)]"
and dell and best buy both refused to take it back after i only had it for 1 hour....,"[('dell', None), ('hour', None)]"
my friends or children use that when they need to borrow the net =) when i out grow this meaning when its old and my oldest child is ready for one she will get this one and i will be buying only toshiba!,"[('toshiba', None), ('the net', None)]"
"first of all, i've been dell fan for more than fifteen years.","[('dell', None), ('fan', None)]"
great investment!,"[('investment', None), ('money', None)]"
i am just amazed.,"[('i', None), ('amaze', None)]"
"i burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so i can place it there.","[('coffee table', None), ('desk', None)]"
i thought all my problems would finally be solved being that my old computer wouldn't go onto our wireless network and i wouldn't have the same problems because it was updated.,"[('new computer', None), ('wireless', None)]"
skype is just so dang cool with this machine too.,"[('skype', None), ('machine', None)]"
i would buy this lap top over and over again!,"[('lap top', None)]"
the mouse buttons are hard to push.,"[('mouse', None), ('mouse buttons', None)]"
"i can actually get work done with this mac, and not fight with it like my tired old pc laptop.","[('mac', None), ('pc laptop', None)]"
"also, hdd secures inside using rails, and there is only one set on the main hard drive.","[('rails', None), ('hdd', None)]"
"if you're not wanting to be mobile, this is a good laptop to sit on a desk.","[('desk', None), ('laptop', None)]"
i also travel with it and it never gives me any problems.,"[('problems', None)]"
just don't waste your time and money on this.,"[('time', None), ('money', None)]"
all i will say now is that it was over two grand less expensive and so much better quality than my hunk of crap vaio.,"[('quality', None), ('vaio', None)]"
"(beware, their staff could send you back making you feel that only they know what a computer is.","[('staff', None), ('computer', None)]"
"and i'm still paying the bloody financing, for a product which didn't last me at least three years !","[('product', None), ('financing', None)]"
games being the main issue.,"[('main', None), ('games', None)]"
"no problems, no lock ups, no disappointments.","[('lock ups', None), ('disappointments', None)]"
"while the computer seems to be set up in a common sense way rather than in geek-speak, there are certain quirks that can drive you crazy trying to deal with the pc world.","[('pc world', None), ('computer', None)]"
"i am definitely sold, and not going back to pcs for home use!","[('pcs', None), ('home', None)]"
"i have a lapdesk which i can use, but i can still feel the heat through the foam and plastic.","[('lapdesk', None), ('foam', None)]"
and its really cheap and you wont regret buying it.,[]
it was over rated!,"[('rated', None), ('food', None)]"
i dont understand how anyone can think this is a great product worth purchasing.,"[('product', None), ('purchasing', None)]"
my sister has the same mac as me and she is in a band and uses garageband to record and edit.,"[('mac', None), ('band', None)]"
i wasn't really sure i wanted to spend that kind of money!,"[('money', None)]"
other thoughts: do not purchase this product.,"[('product', None)]"
they say that this will invalidate the warranty on the hard drive (i don't really understand why but anyway).,"[('hard drive', None), ('warranty', None)]"
and looks very sexyy:d really the mac book pro is the best laptop specially for students in college if you are not caring about price.,"[('price', None), ('mac book', None)]"
i took the computer back in yet again except this time they kept it to send into their geek squad headquarters.,"[('hq', None), ('computer', None)]"
this is a great laptop and i would recommend it to anyone.,"[('laptop', None), ('person', None)]"
"thank god for ""ctrl z""bottom line, i've been using laptops since the mid 90s and probably the majority of brands out there.","[('laptops', None), ('majority', None)]"
they definitely have a superior product!,"[('product', None), ('price', None)]"
a great computer for light home use and business use.,"[('business', None), ('computer', None)]"
bought it to use mostly for oline classes.,"[('courses', None), ('oline', None)]"
"even with virus protection, it always turned off when updates were needed and installed.","[('virus', None), ('updates', None)]"
"also consider the ms office apps are all trial versions, hope you have your own copies.","[('ms office apps', None), ('versions', None)]"
"they are wonderful, but very dangerous when it comes to emitting heat.","[('heat', None), ('emitting', None)]"
this computer was awful!,"[('computer', None)]"
"heck, if i had enough ' money, i would but it as a gift for someone.","[('money', None), ('gift', None)]"
"even so, i like playing online games, so it was wonderful that there is a feature where i can dualboot windows.","[('windows', None), ('game', None)]"
the battery life is amazingly long at 7hrs and 5hrs if you use it.,"[('battery', None), ('battery', None)]"
my previous purchases were with dell and hp.,"[('hp', None), ('dell', None)]"
i have not have any problems.,"[('problems', None), ('i', None)]"
i purchased an hp right after my high school graduation.,"[('hp', None), ('graduation', None)]"
me and my boyfriend bought the gateway nv78 in nov of 09.,"[('gateway', None), ('nv78', None)]"
it is very user friendly and not hard to figure out at all.,[]
"lightweight, long battery life, excellent transition from pc;","[('transition', None), ('pc', None), ('battery', None)]"
the price is another driving influence that made me purchase this laptop.,"[('price', None), ('laptop', None)]"
the nortons virus scan is only for a very short time unlike others that usually are good for a year.,"[('nortons virus', None), ('time', None)]"
it is stamped and not in pieces therefore it is a stronger more resilient frame.,"[('frame', None), ('stamped', None)]"
i am first time mac buyer and am amazed at features and ease of use the mac offers.,"[('mac', None), ('features', None)]"
"two, owning a 17 in.mac book gives the flexibility to sit anywhere you want without worry about bother anyone.","[('book', None), ('privacy', None)]"
sent unit back and it's been two months.,"[('unit', None), ('time', None)]"
came fully loaded - good.,[]
"i noticed windows has a new system called windows 7, what about us vista users? they should get all the bugs out of vista before investing in a new system.","[('new system', None), ('bugs', None)]"
"when we bought our new hp comouter in dec. of 2008, we wanted windows xp, but were told it would cost an extra $159, so we went with vista.","[('new hp comouter', None), ('windows', None)]"
(i definatly can't).,"[('i', None), ('place', None)]"
"files as well would become lost, deleted or corrupted.","[('files', None), ('corrupted', None)]"
it is meant to be portable.,[]
my laptop worked again for just a while before i started having issues again.,"[('laptop', None), ('issues', None)]"
this is perfect for her field.,"[('field', None), ('art', None)]"
taking it back less than 24 hours of purchase,[]
that's the downside for me.,"[('downside', None), ('me', None)]"
"the only thing that i have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.","[('key', None), ('letters', None)]"
hopefully amazon will take this back.,"[('a', None), ('amazon', None)]"
they ended up keeping my computer for almost 3 months!,"[('computer', None), ('waiting', None)]"
"i'm still within the one year warranty but the repair ""depot"" has deemed that this time it was caused by physical abuse and is not covered.","[('depot', None), ('warranty', None)]"
but i needed a laptop for school use.,"[('school', None), ('laptop', None)]"
he can't stand it.,"[('he', None), ('s', None)]"
the computer was delivered as promised.,"[('computer', None), ('delivered', None)]"
this is the complete opposite to an ergonomic design.,"[('design', None), ('ergonomic', None)]"
i would like at least a 4 hr. battery life.,"[('hr', None), ('battery', None)]"
the only thing that i don't like about my mac is that sometimes there are programs that i want to be able to run and i am not able to.,"[('mac', None), ('programs', None)]"
"looking online, many people are having the same problem.","[('problem', None), ('online', None)]"
"wireless has not been a issue for me, like some others have meantioned.","[('wireless', None), ('phone', None)]"
this is my second mac book pro.,"[('mac', None), ('book', None)]"
"macbook notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.","[('background', None), ('macbook notebooks', None)]"
"all the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.","[('trackpad', None), ('programs', None)]"
i guess the only good thing that came out of these were the speakers and the subwoofer.,"[('subwoofer', None), ('speakers', None)]"
theres a built in camera with special effects- for video and photography.,"[('special effects', None), ('video', None)]"
all for such a great price.,"[('price', None), ('food', None)]"
i went right out and purchased another laptop.,"[('laptop', None), ('price', None)]"
"long story short, since i experience so many problems with my laptop every since i bought it from day one, i didn't ask for a new laptop or a refund of what i pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.","[('service', None), ('warranty', None)]"
i am able to play 720p and 1080p media files just fine with it.,"[('720p', None), ('media', None)]"
"i already own an iphone, and so the move just made more sense.","[('move', None), ('iphone', None)]"
so think about factoring those things in when you purchase.,[]
took the netbook on a vacation trip and i was able to do whatever i wanted to do without lugging a much heavier laptop.,"[('netbook', None), ('laptop', None)]"
everything was up and running within 15 minutes of unboxing.,"[('boxing', None), ('everything', None)]"
"this computer gets very hot, before shutting down.","[('computer', None), ('hot', None)]"
another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,"[('left mouse key', None), ('cost', None)]"
went silently.,"[('silently', None), ('food', None)]"
satisfy what i paid for it.,"[('i', None), ('pay', None)]"
it is trash!,"[('trash', None)]"
it has good speed and plenty of hard drive space.,"[('space', None), ('drive', None)]"
clear picture on it and everything.,"[('picture', None), ('everything', None)]"
"overall though, for the money spent it's a great deal.","[('money', None), ('money', None)]"
so you don't get frustrated the first few weeks.,"[('a', None), ('weeks', None)]"
"they said that my computer was covered on an extended warranty, and that products with extended warranties are taken care of through third parties and not sony itself anymore.","[('extended warranties', None), ('computer', None)]"
it's so useable and responsive.,[]
it is truly a desktop replacement.,"[('desktop', None), ('replacement', None)]"
i only used it to browse the internet and and i dont know how many times it has spontaniously shut down and it is just a blank screen now.,"[('screen', None), ('internet', None)]"
"a little pricey but it is well, well worth it.","[('price', None), ('food', None)]"
very long-life battery (up to 10-11 hours depending on how you configure power level settings).,"[('settings', None), ('battery', None)]"
"screen is awesome, battery life is good.","[('screen', None), ('battery', None)]"
the black model also has a very nice seamless appearance - one of the better looking notebooks i've seen.,"[('black model', None), ('notebooks', None)]"
in my opinion it was not as user friendly as i expected either.,[]
the technical service for dell is so 3rd world it might as well not even bother.,"[('service', None), ('dell', None)]"
the graphics were awful and the warranty isn't even worth the cheap payment on the computer.,"[('graphics', None), ('warranty', None)]"
and if u did.,"[('u', None)]"
"i've had the macbook pro 15 for about three weeks, and it really is a great computer.","[('macbook', None), ('computer', None)]"
"they gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.","[('time', None), ('battery', None)]"
it was definelty a smart move.,"[('move', None), ('ice', None)]"
i'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,"[('machine', None), ('offer', None)]"
apparently they are defective since they are not securely attached.,[]
but other then that i would give this product a 4 in hafe stars.,"[('stars', None), ('product', None)]"
sure hope best buy will replace it asap.,"[('buy', None), ('replace', None)]"
i babyed the heck out of it and i still do.,"[('heck', None), ('i babyed', None)]"
handles all my basic media needs easily.,"[('media', None), ('needs', None)]"
just what the doctor ordered.,"[('doctor', None), ('order', None)]"
"if you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, i bought the white one from best buy.","[('white', None), ('case', None)]"
the reaction of toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,"[('toshiba', None), ('matter', None)]"
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.","[('price', None), ('experience', None), ('mac', None), ('performance', None)]"
excellent speed for processing data.,"[('speed', None), ('data', None)]"
"all in all, i'm incredibly dissatisfied with this laptop, and with hp as a whole.","[('hp', None), ('laptop', None)]"
i am not happy at all with the product i purchased.,"[('product', None), ('owner', None)]"
when you call tech support you were routed to someone who was in another country and did not know what they were doing.,"[('tech', None), ('service', None)]"
"it has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.","[('business expenses', None), ('gaming', None)]"
i was taught to use photoshop and was amazed.,"[('photoshop', None), ('person', None)]"
it's a mac!!,"[('mac', None)]"
it was weird.,[]
i can hardly wait to see whats around the next corner.,"[('corner', None), ('wait', None)]"
the apple pro notebook will not let you down.,"[('apple pro notebook', None)]"
4gb of ram...,"[('ram', None), ('gb', None)]"
"i did a review on it, its awesome.","[('i', None), ('a', None)]"
"before we got this laptop, had a compaq pasaro for 5 years with no problems.","[('compaq', None), ('laptop', None)]"
i tried out another mac for a few months before buying this one and it is a great machine.,"[('mac', None), ('machine', None)]"
somehow the system clock got messed up after reboot.,"[('system clock', None), ('reboot', None)]"
"the only problem is that i had to add 1 gb ram, the computer was kinda slow.","[('ram', None), ('computer', None)]"
with the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,"[('macbook', None), ('emails', None)]"
the computer could have been shipped by priority mail through the usps for the same cost and arrived by noon on tue.,"[('cost', None), ('priority mail', None)]"
i visited the apple store and was impressed with the 17-inch macbook pro.,"[('apple', None), ('macbook pro', None)]"
"the driver updates don't fix the issue, very frustrating.","[('driver', None), ('issue', None)]"
i will never go back to windows!,"[('windows', None), ('doors', None)]"
do your research on this issue.,[]
"looking to take my video and photo editing to the next level, i decided to purchase the mbp 15in intel core i5 after reading consumer reviews as well as professional reviews of this laptop.","[('mbp', None), ('photo', None)]"
it doesnt work worth a damn.,"[('damn', None), ('em', None)]"
"hp pavilion dv9000 notebook pc when i first got this computer, it really rocked.","[('hp pavilion dv9000 notebook', None)]"
it works really well.,[]
it has happened again and i'm being told that it's $175.,[]
"bigger hd, better graphics card, and a bid hd.","[('hd', None), ('graphics card', None)]"
lord have mercy!,"[('lord', None), ('mercy', None)]"
the built in camera is very useful when chatting with other techs in remote buildings on our campus.,"[('built in camera', None), ('chatting', None)]"
no big deal.,[]
"mine came at $1,700 w/o a dvd burner (!).","[('dvd burner', None), ('w/o', None)]"
the dvd burner broke after burning 3 dvd'd during that time!,"[('dvd burner', None), ('time', None)]"
it works fine with our wireless and they've had not problems.,"[('wireless', None), ('problems', None)]"
but you must get the 15 inch.,"[('inch', None), ('food', None)]"
i will be returning it and switching brands when i get to best buy.,"[('brand', None), ('waiting', None)]"
product support very poor as each phone call costs me long distan,"[('phone call', None), ('product', None)]"
"overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.","[('screen', None), ('computer', None)]"
the casing of the power cord fried and shocked my husband when he pulled it out of the socket.,"[('casing', None), ('power cord', None)]"
it does not keep internet signals no matter where you bring it.,"[('signals', None), ('internet', None)]"
apple is one of the best computer companies in the country.,"[('apple', None), ('computer', None)]"
please make these!,"[('a', None), ('b', None), ('c', None)]"
frustrated i hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.,"[('time', None), ('turnaround time', None)]"
"after the first few months, the computer started crashing about every week.","[('computer', None), ('crashing', None)]"
"my son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.","[('family', None), ('computer', None)]"
it's a great product for a great price!,"[('price', None), ('product', None)]"
"again, the same problem, the right speaker did not work.","[('speaker', None), ('problem', None)]"
but see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,"[('price tag', None), ('macbook pro', None), ('full software', None)]"
"before i bought my new i5, i did my research for about 2 weeks and determined to move for hp to apple for reliability, dependable, and long lasting operations.","[('new i5', None), ('operations', None)]"
dell wanted to charge us for everything everytime i called them with a problem.,"[('dell', None), ('charge', None)]"
this has been nothing but a headache since we purchased it.,"[('headache', None), ('item', None)]"
i have had my dell latitude for almost three years.,"[('latitude', None)]"
may be better for the occasional web surfer.,"[('surfer', None), ('website', None)]"
and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,"[('multiple page viewer', None), ('online', None)]"
this was the 3rd day and part still had not been shipped.,"[('day', None), ('part', None)]"
obviously we both got new macs.,"[('new macs', None), ('macs', None)]"
"my iphone synced right up just like a person would expect, unlike the pcs in our lives.","[('pcs', None), ('iphone', None)]"
that being said after 2 weeks of owning every time i start it up now it gives me a black screen for 5-8 seconds stating pxe-e61 media test error check cable.,"[('cable', None), ('black screen', None)]"
"it's fun to take to a bookstore, sit in the coffee shop area, sign in to wifi and look up book reviews of books i might buy.","[('coffee', None), ('area', None), ('book reviews', None)]"
"not super fancy, but not super expensive either.",[]
keyboard good sized and wasy to use.,"[('sized', None), ('keyboard', None)]"
hp said it was out of warranty.,"[('warranty', None), ('hp', None)]"
"-stay away from apple, or hope you laptop does not break down.","[('apple', None), ('laptop', None)]"
it's a great prodcut to handle basic computing needs.,"[('computer', None), ('needs', None)]"
"i never had this kind of quality issue with dell (not to say dell is that great), not with a brand new laptop.","[('quality', None), ('new laptop', None)]"
wonderful features.,"[('features', None)]"
the laptop was really good and it goes really fast just the way i thought it would of run.,"[('laptop', None), ('run', None)]"
i had to call hp and ask for a recovery disk because the computer does not come with one and completely redo it all.,"[('disk', None), ('computer', None)]"
im glad that it has such great features in it.,"[('features', None)]"
it's just a great toy to have around.,"[('toy', None), ('around', None)]"
i like those programs better than office and you can save your files to be completely compatible with the office programs as well.,"[('file', None), ('office', None)]"
great wifi too.,"[('wifi', None)]"
"when typing, letters and spaces are frequently omitted requiring the user to redo many words and sentences.","[('space', None), ('words', None)]"
"only a few days after i received the computer back, the screen froze again.","[('screen', None), ('computer', None)]"
it is not ideal for children because of the temp.,"[('temp', None), ('children', None)]"
"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!","[('typewriter', None), ('money', None)]"
when this happened i would have to completely power off my computer and restart it.,"[('computer', None), ('restart', None)]"
although i do believe that windows operating system may be to fault for some of the problems.,"[('windows operating system', None), ('problems', None)]"
"great os, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.","[('line', None), ('thunderbolt port', None)]"
i or my dad paid over twenty four hundred dollars for everything.,"[('dad', None), ('everything', None)]"
the lcd screen stopped working on mine after 10 months.,"[('lcd', None), ('screen', None)]"
that includes transferring my music and movies.,"[('music', None), ('movies', None)]"
images are crisp and clean.,"[('images', None)]"
"took that one home, same thing.","[('home', None), ('thing', None)]"
i'm going back to pc.,"[('pc', None), ('waiting', None)]"
"great, quick laptop for the money.","[('money', None), ('laptop', None)]"
although its windows vista compared to windows xp sucks.,"[('windows xp', None), ('windows vista', None)]"
"we have had numerous problems with vista, such as adobe flash player just quits and has to be uninstalled and then reinsalled, internet explore just quits and you lose whatever you were working on, also, the same windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.","[('adobe flash', None), ('windows', None)]"
the dell mini was the first dell product that i had ever purchased.,"[('dell mini', None), ('dell', None)]"
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,"[('key combination', None), ('switch', None)]"
my mac has gone from being a trusted friend to an adversary.,"[('mac', None), ('adversary', None)]"
"one more tip, please purchase this model and get a 4gb stick of ram to save you $10","[('tip', None), ('ram', None)]"
"by week two, my laptop had overheated and was completely dead even though i did not use it too much.","[('laptop', None), ('time', None)]"
and it is impossible to get them back in.,[]
my last laptop gave me a constant battle even though it was also completely new.,"[('new', None), ('laptop', None)]"
i have been a mac user since the mid 90s.,"[('mac', None), ('late 90s', None)]"
it has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,"[('hardrive', None), ('touch control buttons', None)]"
after the bad experience with this computer went back to compaq.,"[('experience', None), ('compaq', None)]"
finally after months of research the discovered that they mailed it to a walmart and there probably would be no way to find the box.,"[('box', None), ('walmart', None)]"
it doesn't heat up like my old laptop.,"[('laptop', None), ('heat', None)]"
i always have used a tower home pc and jumped to the laptop and have been very satisfied with its performance.,"[('performance', None), ('home', None)]"
it's solid.,[]
"before i got my macbook, i owned a dell laptop.","[('macbook', None), ('dell laptop', None)]"
this laptop is the most amazing little peice of machinery i have owned outside of the iphone.,"[('machine', None), ('iphone', None)]"
